ID,tx_hash,rule_id_1,similarity_1,rule_name_1,rule_id_2,similarity_2,rule_name_2,count
1245,0x4d36fc798ae43db5618a0d105727b0b0edc24c60749db0ff35a1223406acd3cf,75,0.4666666666666667,Miner,22,0.4,KR,181
6509,0x3fad0a77be39530cb44bc7dc9e742cd4fa4828e59b28dfc555fda3430682dd85,436,0.4666666666666667,LQDX,428,0.4210526315789473,Sushi,950
581,0x7745bb3f821b1eb285fbac528d9b4fb5f44d265262d8883160de7403133147f5,32,0.4666666666666667,LW,23,0.4499999999999999,BXH,177
7953,0x98bc8d86e458c0389e48eb919ebd1eee2b7b53c8a2b80e46f7501d93a2d81fd6,515,0.4666666666666667,BNBX,344,0.3846153846153846,SCROLL,2736
985,0x5a205ae5bfc95da01803195827e9b2a940317403759783d1a93be3d11a450f7e,59,0.4666666666666667,ATK,32,0.4285714285714286,LW,1900
3270,0xf6d9e6aabaf1edcc1ddcf4ce0238bd95b5e0155ecea3d60df06e3744becb4488,216,0.4615384615384615,Bitpaidio,75,0.4615384615384615,Miner,235
6508,0x585c5d16666dcc7988a2692461c08de74d32c47f32e6537b86db1fb75263c993,436,0.4615384615384615,LQDX,209,0.4615384615384615,MintoFinance,3712
2474,0x27bdcb163e250ca54daab5a667bd994b871443104716ba264a944d6de7aeef2f,143,0.4615384615384615,Uranium,244,0.3888888888888888,Wdoge,476
6561,0xaa71577a1b7a64f0fef181796b16dc87f15a76883f1938b69a3857c0e1a1a6ed,439,0.4615384615384615,TransitFinance,519,0.375,TSURU,506
50,0x9122d2e34ccf90a16e5ecf91cb72ea82858c0934caae4e935852fb70b7bd7bfb,2,0.4615384615384615,GPU,494,0.4444444444444444,WSM,301
1244,0xeaf653a8f6f1bd34000db936a8f9366cedb3baa3fa487a56e2e7cc9d92b1e788,75,0.4615384615384615,Miner,395,0.3846153846153846,LPC,1640
3207,0x9f9919c9108c2e915e36b4dd61f9ed11a9fafcade23230033619dffcde042b38,209,0.4615384615384615,MintoFinance,290,0.4545454545454546,PHIL,322
2985,0xe0eecbd99678574b05cfa7d330945a0160788d707b2269a3dcec98c146d6f93e,188,0.4545454545454546,SHOCO,143,0.4545454545454546,Uranium,1186
3912,0xdb7cc0a72e4a5a4b59022be2cf252c1a9836d25d02e96f5b2845d28d92d27269,270,0.4545454545454546,STRAC,188,0.4545454545454546,SHOCO,290
6955,0x72e8ff390489870c5609b22a86bfa3e2bbdd3cad96d4b54865be63d7be96a402,457,0.4545454545454546,MaestroRouter2,152,0.4166666666666666,NOON,411
1243,0xc75a19ee31dad432057a2155e3b00fd3ee4e031daa1ca04d1e2f36742fe4d92d,75,0.4545454545454546,Miner,216,0.3846153846153846,Bitpaidio,3677
5893,0x01e2465d02bf18ad812311d1c8879cccbd6ac7d6de8a6553315ff10f5fc05a35,407,0.4545454545454546,DN404,260,0.4545454545454546,Paraswap,1507
1772,0x8f7509b1080b20981b93e4db9f21c0e847c8423f45fbfbb138892c110e20100d,98,0.4545454545454546,RevertFinance,436,0.3846153846153846,LQDX,2009
